Valsts	Cilvēku blīvums cilv/km2	Mežainības blīvums %
Alžīrija	20	0.8
Angola	32	52.1
Benina	135	26.5
Botsvāna	5	26.3
Burundi	574	10.9
Centrālāafrikas republika	9	35.7
Čada	17	3.2
Dienvidāfrika	54	14
Dienvidsudāna	20	11.3
Džibutija	52	0.3
Ekvatoriālā Gvineja	71	86.4
Etiopija	139	14.9
Ēģipte	121	0
Gabona	10	91.2
Gambija	285	22.3
Gana	157	35.2
Gvineja	63	24.7
Gvineja-Bisava	82	69.5
Kamerūna	65	42.7
Kenija	103	6.2
Komoru salas	483	17
Kongo demokrātiskā republika	51	54.2
Kongo	19	64.1
Kotdivuāra	105	7.9
Lesoto	79	1.1
Libērija	61	78.1
Lībija	4	0.1
Madagaskara	58	21.3
Malāvija	242	22.4
Mali	21	10.9
Maroka	87	12.9
Mauritānija	5	0.3
Maurīcija	623	19.5
Mozambika	47	45.8
Namībija	4	7.8
Nigēra	23	0.8
Nigērija	266	23.2
Ruanda	604	11.3
Seišelu salas	293	73.3
Senegāla	101	41.3
Somālija	32	9.2
Sudāna	30	9.6
Tanzānija	82	50.1
Tunisija	80	4.6
Uganda	264	11
Zambija	30	59.5
Zimbabve	45	44.7
